age_first_funding_year,age_last_funding_year,funding_total_usd,status 
3.1479,4.8795,14000000,1 
1.5808,1.5808,3000000,0 
1.5151,1.7644,2238055,0 
0.7123,2.2849,5200000,0 
3.6329,3.6329,75000000,1 
0.411,3.9699,24500000,0 
4.9068,8.1014,4476171,0 
0.5014,2.4219,10400001,1 
4.1836,7.1342,68400000,1 
2.9288,4.6329,15200000,1 
0.6192,1.5863,890000,0 
10.5315,10.5315,2600000,0 
3.8685,3.8685,1226270,1 
6.737,8.2877,9000000,1 
4.6521,8.1288,7210210,1 
0.7397,1.1425,15700000,1 
5.6849,6.3151,15050000,1 
0.7479,2.7507,3500000,1 
6.4767,7.3507,43000000,0 
1.1616,3.0384,57000000,1 
0.8932,0.8932,1300000,1 
1.4986,4.4247,69750000,1 
3,5.0027,14500000,1 
4.0849,5.5836,48000000,0 
3.5041,5.4438,3508462,0 
3.4301,5.5589,19500000,1 
0.4685,0.4685,3750000,1 
0,0,45000000,0 
0.8164,5.5616,32500000,0 
1.8384,8.3397,4900000,1 
2.2986,3.211,12000000,0 
0.0329,2.2055,7175000,1 
1.1699,1.4986,4700000,0 
0,0,120000,0 
5.1041,8.6411,10000000,1 
4.9562,10.3151,39000000,0 
2.2411,4.0301,16100000,1 
1.2466,2.0849,3300000,1 
1.5616,1.5616,750000,1 
2.4493,2.4493,1000000,0 
11.3342,11.3342,7410000,0 
6.8932,10.4082,52800000,1 
4.6685,9.1178,37000000,0 
1.137,3.737,14229998,1 
0.7205,2.4356,3000000,1 
4.0384,4.0384,20000000,1 
0.7479,2.0959,2000000,1 
3.8192,6.0932,19900000,1 
1.2493,1.2493,1500000,0 
0,0,325000,0 
0.463,0.463,3500000,0 
2.0027,4.3863,30000000,0 
4.2384,4.2384,50000000,1 
1.4712,1.4712,2000000,1 
1.5041,5.8356,72000000,1 
1.6849,5.8493,27690547,1 
2.189,2.189,9000000,0 
0.4192,1.4658,7500000,1 
0.6932,1.4986,10000000,1 
1.4411,6.6795,5965000,1 
-0.2466,-0.2466,4000000,1 
5.1397,5.1397,5000000,0 
1.0877,1.0877,11500000,1 
1.0356,2.1479,1050000,0 
1.1644,1.3507,5500000,1 
0.8301,2.8329,5000000,1 
-1.0521,0.6247,3700000,0 
1.2137,3.0082,7000000,0 
1.2466,2.1616,32000000,0 
0.7123,4.2301,7900000,1 
0.6685,6.2795,80000000,1 
4.8247,4.8247,5000000,0 
1,3.1863,2100000,1 
0.2055,4.3973,22250000,1 
0.5397,1.5014,1975000,1 
0,0,1000000,1 
2.3452,2.3452,35000000,0 
0.0822,4.326,88651133,1 
5.5945,5.5945,26000000,1 
0.6712,0.6712,100000,0 
1,1,5000000,1 
6.8356,8.3096,7300000,0 
2.0027,6.2274,64080000,1 
1.3425,1.726,5800000,1 
4.0027,5.7534,89500000,0 
0.5808,5.2521,23350000,1 
3.6877,5.9644,13500000,1 
7.3534,8.126,24500000,1 
3.6027,3.6027,10000000,0 
-1.9863,-1.9863,8500000,0 
16.4192,16.4192,6000000,0 
1.337,1.337,2000000,1 
1.1123,1.937,4100000,1 
0.3699,0.3699,6200000,1 
4.0877,5.5753,12250000,1 
3.3945,5.0712,11725600,1 
4.3151,5.8301,16000000,0 
2.4767,4.3836,5056559,1 
0.4137,0.4137,100000,1 
2.3342,6.9671,68200000,1 
4.0877,9.3068,33000000,1 
1.7863,3.3014,3352194,0 
1.4082,1.9068,2212000,1 
5.9014,7.2904,19800000,1 
0.8301,1.0986,4500000,0 
4.0027,4.0055,14000000,1 
0.0548,0.0548,100000,0 
2.3562,3.4274,9900000,1 
0,5.063,7600000,1 
0,0,50000,0 
-0.0849,-0.0849,650000,0 
0.9178,2.7288,10500000,0 
0.4712,0.4712,500000,1 
1.9342,4.0438,24300000,1 
7.4904,7.874,18000000,0 
0.6548,3.5452,26000000,1 
2.2466,5.0356,9500000,0 
7.3151,7.3151,16980999,1 
1.0027,1.0027,5000000,0 
1.6712,1.6712,350000,0 
1.2384,4.9726,13130000,0 
2.8247,2.8247,20000000,0 
0.5014,3.2959,26500000,1 
3.6986,4.1041,15000000,1 
4.3041,4.3041,2600000,0 
2.3973,6.0329,21470000,0 
0,0,20000,0 
1.9151,2.5808,3600000,0 
0.8329,7.2521,27300000,1 
0.5863,0.5863,2600000,1 
0.8027,0.8027,5000000,0 
4.7589,6.2247,17000000,1 
4.3699,4.3699,662000,0 
0,1.0247,3750000,1 
0.9726,6.7534,45000000,1 
3.8849,5.863,6700000,1 
0.1753,3.8795,20750000,1 
1.1616,7.5041,19000000,1 
-0.4192,0.6658,22500000,1 
0.5041,3.0986,7300000,1 
0.7479,7.8247,26390819,0 
4.4959,4.4959,10000000,1 
0.0849,0.0849,31000,0 
1.7479,2.7288,21500000,1 
4.8521,4.8521,4000000,1 
0.5041,3.7068,9400000,1 
0.0411,2.1288,5600000,1 
2.0027,3.0466,6000000,1 
2.137,10.1288,60704370,1 
0.7534,3.0712,2000000,1 
0.4548,0.7041,1000000,1 
1.126,1.4055,200000,0 
1.8658,1.8658,2300000,0 
2.2164,2.2164,1000000,0 
0.8356,5.7534,24750000,1 
2.5534,6.3945,12800000,0 
4.2384,6.5753,30500000,1 
5.5671,8.5342,36300000,0 
2.1726,3.0849,6693782,1 
11.4329,11.4329,20000000,0 
3.4767,3.4767,11370000,1 
0.5863,2.6384,16500000,1 
0,0,250000,0 
0.5041,3.3562,14400000,1 
0,3.9562,90000000,1 
1.0164,7.1534,13075000,1 
-0.4986,-0.4137,26000000,1 
3.1616,3.6904,16300000,1 
4.4521,7.2274,5992316,1 
3.0575,5.011,89400001,1 
0.8027,0.8027,1200000,0 
1.1836,1.3781,1900000,0 
9.3534,12.4055,30300000,0 
2.0027,2.0027,500000,0 
0,6.9671,74000000,1 
7.1205,7.1205,18800000,1 
0.3288,0.3288,20000,0 
0.1616,2.1781,3350000,1 
5.0192,5.0192,26100000,1 
1.411,2.5151,1213066,0 
0.8438,4.2219,24030000,1 
0.4986,3.4247,13100000,1 
0.0822,1.7671,560001,1 
2.8493,2.8493,3500000,1 
0.1616,7.5041,121500000,1 
0.9726,3.8438,42500000,1 
5.4384,6.4192,36000000,1 
2.5973,2.5973,12170000,0 
5.7534,5.7534,1000000,1 
3.337,3.937,1820000,1 
4.6,9.4164,5700000000,1 
6.9699,6.9699,5000000,1 
0.8384,1.4055,18800000,1 
2.3452,3.3534,72300000,1 
-0.137,3.1452,1310000,1 
2.4164,4.7753,15000000,0 
2.2521,4.7397,39007789,1 
2.0685,2.0685,25000000,1 
0.3288,2.0932,172500,1 
1.6658,2.1123,6100000,1 
2.2192,7.9315,40300000,1 
0.3616,0.3616,100000,0 
0.3342,5.4904,19389998,1 
2.4822,4.8192,61500000,1 
3.4411,3.4411,6000000,1 
-0.0027,5.0055,19100000,1 
0.2219,2.0548,3499997,1 
1.2521,1.874,2600000,1 
-0.4466,1.1479,2023000,1 
5.1068,5.1068,25000000,1 
0.7205,3.5945,66000000,1 
1.4192,1.4466,1000000,1 
1.3288,2.063,13000000,1 
7.6932,14.0329,24150000,0 
5.8411,8.2219,47218498,0 
3.6137,4.3753,11800000,1 
1.5973,2.1781,2387481,0 
0.8356,7.5863,33000000,1 
2.6712,3.8822,7500000,1 
6.7479,6.7479,25000000,1 
3.7096,8.9562,25305000,1 
0.8356,1.8986,4950000,1 
2.2712,6.3781,53816776,1 
-0.1671,0.9151,3500000,1 
5.0767,5.0767,5000000,1 
0,2.5397,2515000,1 
1.0849,2.4986,8400000,1 
2.5836,4.0027,4900000,0 
4.2959,4.2959,5000000,0 
4.4904,4.4904,11000000,1 
1.0027,8.2548,68400000,1 
3.0877,4.2795,2000000,1 
0.6685,1.926,10800000,0 
-0.0219,5.2329,37000000,1 
2.5233,2.5233,7660000,1 
0.3397,5.2247,48730000,1 
0,1.4137,3350000,0 
3.8767,7.1973,28000000,0 
1.4959,1.4959,2500000,1 
0.3315,1.1644,8000000,1 
0.5836,1.6521,540000,1 
0,1.2466,3100000,1 
1.0904,2.326,1200000,1 
0,0,5000000,0 
0.6658,7.3753,37079000,1 
4.3315,11.1699,135826373,1 
-0.3342,0.2301,5000000,0 
0.2082,1.0849,4200000,1 
3.5808,3.5808,4100000,0 
0.7726,0.7726,2000000,0 
5.0027,5.0027,6500000,1 
1.4521,1.4521,4000000,0 
0.2466,1,185000,0 
2.6959,2.6959,1300000,1 
3.7945,3.7945,45000000,1 
2.3041,2.3041,2500000,1 
0.5808,2.737,9200000,1 
-1.4712,-0.137,435953,0 
-1,0,55600000,0 
6.263,6.263,10000000,1 
0.8329,0.8329,12000,0 
4.0301,4.0849,2257464,0 
0.1671,0.5288,983000,1 
1.4466,2.5068,41000000,1 
3.6685,5.5589,9100000,0 
2.4438,7.1973,25500100,0 
0.2959,0.2959,400000,1 
4.737,8.3479,22165091,1 
0.1671,0.1671,500000,1 
0.663,5.8849,70000000,1 
1.2603,3.1781,4700000,1 
2.0055,2.0055,30000000,1 
2.0658,9.3836,39000000,1 
6.4356,9,32000000,1 
0.1151,1.1507,42000000,1 
4.3726,9.3616,24510540,1 
5.6548,5.6548,2500000,0 
3.6027,7.926,21460663,1 
5.3507,5.3507,15000000,1 
1.4137,4.2795,889999,0 
4.2219,4.2219,16000000,1 
2.4192,2.4192,7000000,1 
0.7479,0.7479,100000,0 
1.9041,1.9041,1500000,1 
6.0356,6.0356,8000000,1 
0.2521,0.7425,4000000,1 
0.0164,0.0164,25000,0 
2.4301,9.0055,64630000,1 
1,3.6493,12100000,0 
4.2192,5.611,20000000,1 
2.0301,9.3808,49600000,0 
7.5123,9.9479,51450000,1 
-0.1808,2.5178,6300000,1 
2,2,200000,0 
0,0,20000,0 
0,3.3945,11600000,1 
0.1205,0.1205,9150000,1 
0.2849,0.2849,1200000,0 
1.8301,1.8301,1700000,0 
0.5808,2.5123,1415000,1 
1.0849,3.1342,4200000,1 
0.9151,1.6356,500000,1 
5.9507,5.9507,21500000,1 
0.0411,1.5863,10000000,1 
1.0877,2.5616,9500000,0 
2.9808,5.211,13875001,0 
10.9068,10.9068,275000,0 
0.0849,5.0356,19743770,1 
2.0849,4.0192,1178000,1 
0.7479,2.7945,25000000,1 
1.5863,3.1808,24150000,1 
1.7479,3.5452,80000000,0 
1.4164,3.326,36000000,1 
1.3973,1.3973,205000,0 
-0.0438,4.211,28300000,1 
-1.1836,-1.1836,2000000,0 
0.7479,1.1616,11500000,1 
0.8904,0.8904,4000000,0 
0.7151,0.7151,500000,0 
0.7425,0.7425,4000000,0 
0,2.4274,9030000,0 
0.0658,4.3863,69900000,1 
0.6658,0.6658,20000,0 
3.6384,11.9041,238209999,1 
3.1014,6.7342,14700000,1 
-0.1288,0.8712,430000,1 
1.337,1.4219,1015000,1 
0.4438,0.4438,1200000,0 
1.8301,3.3288,17100000,1 
4.6767,4.6767,50000000,1 
0.6548,0.6548,900000,0 
16.9863,16.9863,6000000,0 
0.7479,7.0904,15100000,1 
1,8.8795,62600000,1 
1.8575,4.6027,14800000,1 
0.0411,3.1425,6875000,1 
0.8712,0.8712,30000,0 
6.263,6.263,22200000,0 
0.2055,0.4329,415000,1 
-0.1616,3.8329,27063781,1 
3.0877,3.0877,3100000,1 
2.1616,3.2877,33000000,0 
2.7753,5.0027,17400000,1 
0,3.3863,28300000,1 
-0.2493,2.1644,46800000,1 
1.3288,2.0301,1525000,1 
0.3397,0.3397,1200000,1 
0.1781,4.0301,12400000,1 
4.5863,4.5863,100000,0 
2.2219,7.3288,11000000,1 
1.3397,2.2795,675000,1 
0,2.3863,13000000,1 
0.7479,0.7479,3500000,1 
